127.0.0.1 - - [07/Jul/2020:14:09:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:09:06 +0530] "GET /project_4/ HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:09:29 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:09:29 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:18 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:19 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:49 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:49 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:53 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:53 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:55 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:55 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:56 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:10:56 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:09 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:09 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:12 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:12 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:15 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:15 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:30 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:30 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:33 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:33 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:11:37 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
