127.0.0.1 - - [22/Aug/2020:11:32:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:32:33 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:32:59 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:32:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:33:01 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:33:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:33:12 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:33:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:33:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:44 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:51 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:53 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:49:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:50:13 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:50:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:50:44 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 6787
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:50:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:54:45 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:54:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:55:22 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:55:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:55:25 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 7213
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:55:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:59:34 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:59:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:12:06:07 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11547
0:0:0:0:0:0:0:1 - - [22/Aug/2020:12:06:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:12:06:08 +0530] "GET /project_4/ctl/StudentCtl HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [22/Aug/2020:12:06:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:12:06:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:16:35 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:16:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:56 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:56 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:59 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:24:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:33:19 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 7213
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:33:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:33:22 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:33:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:34:17 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:34:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:16:34:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:12 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:25 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:25 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:35 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:49 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:09:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:10:58 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:10:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:05 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 6740
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:13 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:21 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:22 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:11:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:16:36 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:16:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:24:28 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:24:28 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:24:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:27:02 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [22/Aug/2020:18:27:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Aug/2020:22:17:10 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4215
