127.0.0.1 - - [21/Sep/2020:09:49:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:49:58 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:03 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:05 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:18 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:18 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/overview-frame.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/allclasses-frame.html HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/overview-summary.html HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:24 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:31 +0530] "GET /project_4/doc/in/co/rays/project_4/ctl/BaseCtl.html HTTP/1.1" 200 31837
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:50:31 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:51:28 +0530] "GET /project_4/doc/in/co/rays/project_4/ctl/CollegeCtl.html HTTP/1.1" 200 22076
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:51:28 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2020:09:52:01 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
