127.0.0.1 - - [06/Oct/2020:09:01:24 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:01:25 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:01:30 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:01:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:01:34 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:01:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:18 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:18 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:37 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:39 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9027
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:02:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:50 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:55 +0530] "GET /project_4/ctl/CourseListCtl HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:58 +0530] "GET /project_4/ctl/CourseCtl HTTP/1.1" 200 6307
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:03:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:04:02 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:04:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:44:36 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:44:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:44:50 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:44:50 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:44:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:45:20 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
