127.0.0.1 - - [25/Nov/2020:14:41:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:17 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:19 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:34 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:34 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:37 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 10922
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:39 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:47 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:53 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:59 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:41:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:02 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:04 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10901
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:07 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:11 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 10922
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:45 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:48 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:57 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:59 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10901
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:42:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:43:01 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [25/Nov/2020:14:43:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
