127.0.0.1 - - [03/Dec/2020:09:50:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:50:42 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:50:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:35 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:35 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:37 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:40 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:51:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:06:21 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:06:21 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:06:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:06:46 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:06:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:07:58 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:07:58 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:07:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:05 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:05 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:05 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:09 +0530] "GET /project_4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 8973
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:08:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:29:54 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:29:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2020:10:29:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
