127.0.0.1 - - [04/Jan/2021:08:23:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:23:59 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:23:59 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:01 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:04 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:15 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4288
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:33 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:24:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:22 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:22 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:32 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9118
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:32 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:25:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:13 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:16 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:36 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9118
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:26:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:08 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:37 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:41 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:27:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:06 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:08 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:25 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:40 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:28:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:29:27 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:29:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:29:37 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:16 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:17 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:32 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:34 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [04/Jan/2021:08:30:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
